year,month,latitude,upwelling_index,model
1982.0,4.0,37.0,0.961,gfdl
1982.0,4.0,38.0,1.028,gfdl
1982.0,4.0,39.0,1.005,gfdl
1982.0,4.0,40.0,0.587,gfdl
1982.0,4.0,41.0,0.117,gfdl
1982.0,4.0,42.0,-0.151,gfdl
1982.0,4.0,43.0,-0.239,gfdl
1982.0,4.0,44.0,-0.509,gfdl
1982.0,4.0,45.0,-0.322,gfdl
1982.0,4.0,46.0,-0.159,gfdl
1982.0,4.0,47.0,-0.133,gfdl
1982.0,5.0,31.0,0.564,gfdl
1982.0,5.0,32.0,0.401,gfdl
1982.0,5.0,33.0,0.542,gfdl
1982.0,5.0,34.0,0.936,gfdl
1982.0,5.0,35.0,1.599,gfdl
1982.0,5.0,36.0,1.314,gfdl
1982.0,5.0,37.0,1.408,gfdl
1982.0,5.0,38.0,1.736,gfdl
1982.0,5.0,39.0,1.796,gfdl
1982.0,5.0,40.0,1.353,gfdl
1982.0,5.0,41.0,1.032,gfdl
1982.0,5.0,42.0,0.877,gfdl
1982.0,5.0,43.0,0.71,gfdl
1982.0,5.0,44.0,0.024,gfdl
1982.0,5.0,45.0,0.154,gfdl
1982.0,5.0,46.0,0.079,gfdl
1982.0,5.0,47.0,0.114,gfdl
1982.0,6.0,31.0,0.508,gfdl
1982.0,6.0,32.0,0.505,gfdl
1982.0,6.0,33.0,0.522,gfdl
1982.0,6.0,34.0,0.828,gfdl
1982.0,6.0,35.0,1.507,gfdl
1982.0,6.0,36.0,1.065,gfdl
1982.0,6.0,37.0,0.864,gfdl
1982.0,6.0,38.0,1.252,gfdl
1982.0,6.0,39.0,1.57,gfdl
1982.0,6.0,40.0,1.105,gfdl
1982.0,6.0,41.0,0.893,gfdl
1982.0,6.0,42.0,1.036,gfdl
1982.0,6.0,43.0,0.833,gfdl
1982.0,6.0,44.0,0.276,gfdl
1982.0,6.0,45.0,0.368,gfdl
1982.0,6.0,46.0,0.211,gfdl
1982.0,6.0,47.0,0.183,gfdl
1982.0,7.0,31.0,0.325,gfdl
1982.0,7.0,32.0,0.329,gfdl
1982.0,7.0,33.0,0.288,gfdl
1982.0,7.0,34.0,0.332,gfdl
1982.0,7.0,35.0,0.869,gfdl
1982.0,7.0,36.0,0.669,gfdl
1982.0,7.0,37.0,0.571,gfdl
1982.0,7.0,38.0,0.996,gfdl
1982.0,7.0,39.0,1.62,gfdl
1982.0,7.0,40.0,1.469,gfdl
1982.0,7.0,41.0,1.311,gfdl
1982.0,7.0,42.0,1.392,gfdl
1982.0,7.0,43.0,1.137,gfdl
1982.0,7.0,44.0,0.785,gfdl
1982.0,7.0,45.0,0.757,gfdl
1982.0,7.0,46.0,0.551,gfdl
1982.0,7.0,47.0,0.453,gfdl
1982.0,8.0,31.0,0.43,gfdl
1982.0,8.0,32.0,0.415,gfdl
1982.0,8.0,33.0,0.464,gfdl
1982.0,8.0,34.0,0.477,gfdl
1982.0,8.0,35.0,0.935,gfdl
1982.0,8.0,36.0,0.604,gfdl
1982.0,8.0,37.0,0.421,gfdl
1982.0,8.0,38.0,0.578,gfdl
1982.0,8.0,39.0,0.963,gfdl
1982.0,8.0,40.0,1.113,gfdl
1982.0,8.0,41.0,0.911,gfdl
1982.0,8.0,42.0,1.036,gfdl
1982.0,8.0,43.0,0.855,gfdl
1982.0,8.0,44.0,0.627,gfdl
1982.0,8.0,45.0,0.532,gfdl
1982.0,8.0,46.0,0.468,gfdl
1982.0,8.0,47.0,0.394,gfdl
1982.0,9.0,31.0,0.389,gfdl
1982.0,9.0,32.0,0.228,gfdl
1982.0,9.0,33.0,0.436,gfdl
1982.0,9.0,34.0,0.498,gfdl
1982.0,9.0,35.0,0.819,gfdl
1982.0,9.0,36.0,0.578,gfdl
